Treatment,Drug,Time_on_white,Entries,Duration,Risk_assessment_N,Erratic_swimming_N,Thigmotaxis_Percent
CTRL,VEH,522.673,1,522.673,0,0,1.66666666666667
CTRL,VEH,78.676,10,7.8676,4,0,6.44444444444444
CTRL,VEH,167.0,43,3.883720930232558,4,0,6.22222222222222
CTRL,VEH,227.217,45,5.049266666666667,1,0,5.77777777777778
CTRL,VEH,361.894,100,3.6189400000000003,6,1,11.3333333333333
CTRL,VEH,424.896,59,7.201627118644068,6,6,10.4444444444444
CTRL,VEH,436.644,80,5.45805,7,1,8.44444444444444
CTRL,VEH,91.247,56,1.6294107142857144,3,0,7.0
CTRL,VEH,202.545,21,9.645,5,1,0.666666666666667
CTRL,VEH,436.307,84,5.194130952380952,0,0,9.0
CTRL,VEH,514.33,62,8.295645161290324,4,4,6.0
CTRL,IVA,316.757,77,4.113727272727273,7,0,8.55555555555556
CTRL,IVA,315.856,80,3.9482,3,2,9.77777777777778
CTRL,IVA,298.411,26,11.477346153846154,9,1,5.22222222222222
CTRL,IVA,144.55,34,4.251470588235295,5,0,2.77777777777778
CTRL,IVA,165.924,55,3.0168,4,0,5.66666666666667
CTRL,IVA,510.925,47,10.870744680851065,4,19,3.66666666666667
CTRL,IVA,862.889,32,26.96528125,2,7,8.11111111111111
CTRL,IVA,351.448,56,6.275857142857142,3,0,9.88888888888889
CTRL,IVA,380.248,57,6.671017543859649,5,3,13.5555555555556
CTRL,IVA,121.305,45,2.695666666666667,13,0,3.77777777777778
CTRL,IVA,509.329,88,5.787829545454546,9,4,20.0
CAS,VEH,8.078,74,0.10916216216216215,3,0,16.3333333333333
CAS,VEH,72.696,22,3.3043636363636364,0,0,13.66666666666667
CAS,VEH,203.113,39,5.208025641025641,3,3,24.88888888888889
CAS,VEH,236.24,46,5.135652173913043,2,1,5.0
CAS,VEH,54.543,43,1.2684418604651162,2,6,28.44444444444444
CAS,VEH,390.55,117,3.338034188034188,15,6,13.0
CAS,VEH,174.68,37,4.721081081081081,1,2,11.4444444444444
CAS,VEH,315.556,12,26.296333333333333,0,9,5.55555555555556
CAS,VEH,61.007,17,3.588647058823529,1,0,5.11111111111111
CAS,VEH,36.319,61,0.5953934426229509,1,3,12.5555555555556
CAS,VEH,182.114,43,4.235209302325582,3,2,15.8888888888889
CAS,IVA,254.871,122,2.089106557377049,10,0,10.6666666666667
CAS,IVA,227.036,20,11.3518,3,3,4.0
CAS,IVA,214.677,78,2.7522692307692305,3,0,8.44444444444444
CAS,IVA,365.92,95,3.8517894736842107,3,3,13.1111111111111
CAS,IVA,139.93,56,2.4987500000000002,19,1,5.33333333333333
CAS,IVA,737.0,112,6.580357142857143,1,3,7.55555555555556
CAS,IVA,25.148,20,1.2574,9,0,0.444444444444444
CAS,IVA,267.492,101,2.6484356435643566,12,0,4.77777777777778
CAS,IVA,114.164,44,2.5946363636363636,12,1,3.88888888888889
CAS,IVA,494.626,90,5.495844444444444,3,8,4.22222222222222
CAS,IVA,27.277,14,1.948357142857143,4,4,0.444444444444444
