"Treatment","Drug","Time_on_white","Entries","Duration","Risk_Assessment","Erratic_Swimming_N","Thigmotaxis_Percent"
"CTRL","VEH",394.85,37,10.671621621621622,7,3,18.679
"CTRL","VEH",192.901,21,9.185761904761906,2,4,14.998555555555555
"CTRL","VEH",367.174,25,14.68696,5,3,10.569444444444445
"CTRL","VEH",169.998,27,6.296222222222222,0,7,7.802666666666667
"CTRL","VEH",64.093,52,1.2325576923076924,22,10,16.53822222222222
"CTRL","VEH",155.946,23,6.780260869565217,12,0,1.7654444444444444
"CTRL","VEH",150.465,31,4.853709677419355,11,3,1.6475555555555554
"CTRL","VEH",294.031,15,19.602066666666666,1,0,6.316888888888888
"CTRL","VEH",162.566,50,3.25132,16,2,10.399222222222223
"CTRL","VEH",92.478,47,1.9676170212765955,7,1,35.02366666666667
"CTRL","VEH",77.58,4,19.395,3,1,0.366
"CTRL","VEH",83.83,34,2.4655882352941174,2,1,29.54266666666667
"CTRL","VEH",222.041,69,3.2179855072463766,14,1,0.7518888888888889
"CTRL","VEH",172.192,49,3.514122448979592,8,4,6.780777777777778
"CTRL","VEH",167.421,54,3.100388888888889,4,7,11.59311111111111
"CTRL","VEH",126.1,30,4.203333333333333,17,2,0.5386666666666666
"CTRL","VEH",206.559,46,4.490413043478261,19,1,0.3113333333333333
"CTRL","VEH",36.067,111,0.3249279279279279,33,4,4.743777777777779
"CTRL","VEH",48.696,53,0.9187924528301886,15,2,3.7583333333333337
"CTRL","VEH",139.557,116,1.2030775862068965,23,3,15.713111111111113
"CTRL","VEH",123.633,57,2.169,13,2,5.948999999999999
"CTRL","VEH",439.303,43,10.216348837209303,15,2,2.5742222222222217
"CTRL","VEH",440.922,37,11.916810810810812,1,0,18.07044444444444
"CTRL","VEH",345.873,149,2.321295302013423,0,0,26.354222222222223
"CAS","VEH",9.525,36,0.26458333333333334,2,0,43.513999999999996
"CAS","VEH",22.682,55,0.4124,11,27,24.475555555555555
"CAS","VEH",129.519,24,5.396625,14,6,6.555999999999999
"CAS","VEH",48.823,49,0.9963877551020408,10,6,10.854555555555557
"CAS","VEH",70.499,64,1.101546875,14,13,17.124555555555556
"CAS","VEH",153.0,23,6.6521739130434785,10,12,2.8966666666666665
"CAS","VEH",33.902,1,33.902,1,0,33.987
"CAS","VEH",50.627,10,5.0627,1,0,52.967666666666666
"CAS","VEH",16.638,32,0.5199375,14,4,4.114888888888889
"CAS","VEH",110.007,101,1.0891782178217821,26,28,28.552333333333333
"CAS","VEH",52.12,47,1.1089361702127658,25,2,13.090555555555556
"CAS","VEH",109.0,25,4.36,4,7,22.386444444444447
"CAS","VEH",94.423,14,6.7445,11,3,45.918
"CAS","VEH",315.903,132,2.3932045454545454,21,16,10.558000000000002
"CAS","VEH",89.731,64,1.402046875,14,8,7.834666666666666
"CAS","VEH",158.829,37,4.292675675675676,16,2,1.572111111111111
"CAS","VEH",213.153,25,8.526119999999999,15,4,3.739888888888889
"CAS","VEH",74.52,88,0.8468181818181818,0,10,30.894666666666666
"CAS","VEH",0.306,122,0.0025081967213114753,27,10,10.413444444444444
"CAS","VEH",16.361,44,0.3718409090909091,26,2,1.1406666666666665
