"Treatment","Drug","Time_on_white","Entries","Duration","Risk_assessment","Erratic_Swimming","Thigmotaxis_Percent"
"CTRL","VEH",26.096,63,0.4142222222222222,11,2,6.23524130741723
"CTRL","VEH",64.889,77,0.8427142857142856,9,5,12.9253729554654
"CTRL","VEH",419.927,65,6.460415384615385,9,3,1.73460179424918
"CTRL","VEH",478.208,34,14.064941176470589,1,1,11.9079372284257
"CTRL","VEH",71.98,68,1.058529411764706,14,3,19.6163138619559
"CTRL","VEH",59.18,52,1.138076923076923,11,5,7.35284571817801
"CTRL","VEH",400.906,10,40.0906,20,2,18.7549842335196
"CTRL","VEH",223.046,56,3.9829642857142855,16,7,4.04114718719226
"CTRL","VEH",155.874,12,12.9895,10,5,19.4153210300505
"CTRL","VEH",76.689,41,1.8704634146341461,16,8,9.81608241546725
"CTRL","VEH",153.299,66,2.3227121212121213,15,3,3.00172899830756
"CTRL","VEH",199.742,16,12.483875,13,8,13.3312959433566
"CTRL","VEH",213.396,66,3.233272727272727,6,2,3.53887629461747
"CTRL","VEH",384.986,19,20.262421052631577,9,0,4.177088936903
"CTRL","VEH",410.065,9,45.562777777777775,9,8,7.14323709891448
"CTRL","VEH",205.641,17,12.096529411764706,11,1,4.32366694497895
"CTRL","VEH",465.068,9,51.67422222222222,9,4,14.1516086497346
"CTRL","ODQ",509.982,62,8.22551612903226,19,1,15.7373569586519
"CTRL","ODQ",336.687,25,13.46748,4,5,4.84114921307039
"CTRL","ODQ",123.15,65,1.8946153846153848,4,8,8.08776107642622
"CTRL","ODQ",309.626,72,4.300361111111111,7,7,12.2349128763564
"CTRL","ODQ",609.139,14,43.509928571428574,12,8,15.8664136349272
"CTRL","ODQ",573.726,49,11.70869387755102,20,6,11.2074988340942
"CTRL","ODQ",150.231,55,2.731472727272727,17,7,10.9919947151677
"CTRL","ODQ",546.104,38,14.371157894736843,0,7,3.33947285991664
"CTRL","ODQ",0.0,21,0.0,1,4,3.47965201844614
"CTRL","ODQ",183.542,4,45.8855,16,5,12.6194058549474
"CTRL","ODQ",297.971,56,5.320910714285715,19,3,5.85990132716311
"CTRL","ODQ",177.585,76,2.3366447368421053,4,0,11.2027873246501
"CTRL","ODQ",147.873,66,2.2405,8,0,8.66939354796976
"CTRL","ODQ",332.883,26,12.803192307692306,6,8,12.8913601455293
"CTRL","ODQ",76.055,58,1.311293103448276,8,3,8.35109297171858
"CTRL","ODQ",312.251,37,8.439216216216215,3,2,16.9932935754593
"CTRL","ODQ",194.706,27,7.211333333333333,19,8,10.993973619831
"CTRL","ODQ",159.754,32,4.9923125,5,7,8.85794859747824
"CTRL","ODQ",90.468,7,12.924000000000001,7,0,16.3576284949967
"CTRL","ODQ",37.456,3,12.485333333333335,20,1,20.0511770573694
"CTRL","ODQ",103.893,34,3.055676470588235,3,7,16.4593150354612
"CTRL","ODQ",66.326,13,5.101999999999999,9,5,16.010462394947
"CAS","VEH",298.632,41,7.283707317073171,21,3,23.4436594263267
"CAS","VEH",58.82,17,3.46,9,6,35.0640873671946
"CAS","VEH",5.696,42,0.1356190476190476,26,0,34.5385503798644
"CAS","VEH",8.611,24,0.3587916666666667,13,3,28.7836608826383
"CAS","VEH",40.175,40,1.004375,24,3,22.0464900514058
"CAS","VEH",340.702,58,5.8741724137931035,30,1,35.4044302253485
"CAS","VEH",6.395,26,0.24596153846153845,16,1,10.0382795759553
"CAS","VEH",18.716,44,0.4253636363636364,9,7,6.27284439525122
"CAS","VEH",267.793,4,66.94825,30,2,19.0732318449595
"CAS","VEH",137.548,4,34.387,13,12,17.3822084260475
"CAS","VEH",228.953,57,4.016719298245614,5,9,12.2594687868617
"CAS","VEH",53.82,37,1.4545945945945946,28,3,21.1406641195187
"CAS","VEH",61.0,70,0.8714285714285714,15,17,5.2343672912295
"CAS","VEH",164.621,73,2.255082191780822,7,4,12.6113307205445
"CAS","VEH",56.0,38,1.4736842105263157,19,5,33.6211190727025
"CAS","VEH",78.931,64,1.233296875,24,3,32.0000234489991
"CAS","VEH",55.067,68,0.8098088235294117,15,0,32.8851752579549
"CAS","VEH",56.0,77,0.7272727272727273,8,0,23.266670153976
"CAS","VEH",149.986,17,8.82270588235294,25,2,17.8801060783974
"CAS","VEH",32.506,6,5.417666666666666,6,2,26.3559735659488
"CAS","VEH",64.0,43,1.4883720930232558,5,1,35.2814631202937
"CAS","VEH",6.429,25,0.25716,25,16,33.3030556188485
"CAS","VEH",101.0,58,1.7413793103448276,25,1,6.24801941240104
"CAS","ODQ",855.024,77,11.104207792207792,7,2,17.0321237521616
"CAS","ODQ",39.199,62,0.632241935483871,6,11,4.33266750871347
"CAS","ODQ",162.143,9,18.015888888888888,5,3,16.4104595343698
"CAS","ODQ",93.804,18,5.211333333333333,6,7,18.4332607198265
"CAS","ODQ",488.677,40,12.216925,18,11,9.63775156054369
"CAS","ODQ",346.474,37,9.364162162162161,8,1,12.5991509726524
"CAS","ODQ",876.923,59,14.863101694915255,15,0,1.71429104487873
"CAS","ODQ",257.534,28,9.197642857142856,5,1,7.71278950867014
"CAS","ODQ",31.091,41,0.7583170731707317,13,13,19.0369252839628
"CAS","ODQ",155.023,45,3.4449555555555555,12,1,16.8497950498998
"CAS","ODQ",203.748,54,3.773111111111111,6,7,17.2056306540503
"CAS","ODQ",202.225,4,50.55625,11,15,14.0797111554431
"CAS","ODQ",215.882,48,4.497541666666667,9,9,16.7001021963486
"CAS","ODQ",338.472,5,67.6944,6,9,20.6066150358045
"CAS","ODQ",209.303,29,7.217344827586206,14,3,6.6299813006338
"CAS","ODQ",354.704,32,11.0845,17,16,2.69471843585676
"CAS","ODQ",241.357,59,4.090796610169492,9,12,20.0274784452153
"CAS","ODQ",146.184,11,13.289454545454545,7,2,4.83806729492042
"CAS","ODQ",30.984,52,0.5958461538461539,17,13,1.22477141175129
"CAS","ODQ",183.724,68,2.7018235294117647,9,14,19.5766461338125
,,,,,,,
,,,,,,,
