Treatment,Drug,Time_on_white,Entries,Duration,Risk_assessment_N,Erratic_swimming_N,Thigmotaxis_Percent
CTRL,VEH,394.85,37,10.6716216216216,7,3,168.111
CTRL,VEH,192.901,21,9.18576190476191,2,4,134.987
CTRL,VEH,367.174,25,14.68696,5,3,95.125
CTRL,VEH,169.998,27,6.29622222222222,0,7,70.224
CTRL,VEH,64.093,52,1.23255769230769,22,10,148.844
CTRL,VEH,155.946,23,6.78026086956522,12,0,15.889
CTRL,VEH,150.465,31,4.85370967741935,11,3,14.828
CTRL,VEH,294.031,15,19.6020666666667,1,0,56.852
CTRL,VEH,162.566,50,3.25132,16,2,93.593
CTRL,VEH,92.478,47,1.9676170212766,7,1,315.213
CTRL,VEH,77.58,4,192.645,3,1,3.294
CTRL,VEH,83.83,34,25.4067647058824,2,1,265.884
CTRL,VEH,222.041,69,3.21798550724638,14,1,6.767
CTRL,VEH,172.192,49,3.51412244897959,8,4,61.027
CTRL,VEH,167.421,54,3.10038888888889,4,7,104.338
CTRL,VEH,126.1,30,4.20333333333333,17,2,4.848
CTRL,VEH,206.559,46,4.49041304347826,19,1,2.802
CTRL,VEH,36.067,111,0.324927927927928,33,4,42.694
CTRL,VEH,48.696,53,0.918792452830189,15,2,33.825
CTRL,VEH,139.557,116,1.2030775862069,23,3,141.418
CTRL,VEH,123.633,57,2.169,13,2,53.541
CTRL,VEH,439.303,43,10.2163488372093,15,2,23.168
CTRL,VEH,440.922,37,11.9168108108108,1,0,162.634
CTRL,VEH,345.873,149,2.32129530201342,0,0,237.188
CAS,VEH,9.525,36,0.264583333333333,2,0,391.626
CAS,VEH,22.682,55,0.4124,11,27,220.28
CAS,VEH,129.519,24,5.396625,14,6,59.004
CAS,VEH,48.823,49,0.996387755102041,10,6,97.691
CAS,VEH,70.499,64,1.101546875,14,13,154.121
CAS,VEH,153.0,23,6.65217391304348,10,12,26.07
CAS,VEH,33.902,1,33.902,1,0,0.0
CAS,VEH,50.627,10,5.0627,1,0,476.709
CAS,VEH,16.638,32,0.5199375,14,4,37.034
CAS,VEH,110.007,101,1.08917821782178,26,28,256.971
CAS,VEH,52.12,47,1.10893617021277,25,2,117.815
CAS,VEH,109.0,25,4.36,4,7,21.478
CAS,VEH,44.423,14,35.3159285714286,11,3,0.0
CAS,VEH,315.903,132,2.39320454545455,21,16,95.022
CAS,VEH,89.731,64,1.402046875,14,8,70.512
CAS,VEH,158.829,37,4.29267567567568,16,2,14.149
CAS,VEH,213.153,25,8.52612,15,4,33.659
CAS,VEH,74.52,88,0.846818181818182,0,10,278.052
CAS,VEH,0.306,122,0.00250819672131148,27,10,93.721
CAS,VEH,76.361,44,17.8718409090909,26,2,10.266
CAS,VEH,72.19,55,1.31254545454545,10,7,150.097
CAS,VEH,313.819,52,6.03498076923077,17,10,58.583
CAS,VEH,187.577,55,3.41049090909091,16,9,119.008
CAS,VEH,47.068,59,0.797762711864407,4,12,309.905
CAS,ODQ,206.0,26,7.92307692307692,2,2,455.185
CAS,ODQ,83.733,2,41.8665,5,10,110.773
CAS,ODQ,273.087,36,7.58575,1,1,520.508
CAS,ODQ,718.914,49,14.6717142857143,8,10,153.908
CAS,ODQ,105.444,21,5.02114285714286,1,2,81.346
CAS,ODQ,95.628,57,1.67768421052632,7,2,191.545
CAS,ODQ,423.097,80,5.2887125,17,16,442.505
CAS,ODQ,255.012,16,15.93825,5,2,108.397
CAS,ODQ,173.119,50,3.46238,12,2,227.211
CAS,ODQ,16.128,20,0.8064,12,6,4.925
CAS,ODQ,165.803,14,11.8430714285714,5,2,150.752
CAS,ODQ,105.713,13,8.13176923076923,0,2,111.164
CAS,ODQ,776.924,72,10.7906111111111,21,3,53.023
CAS,ODQ,127.813,48,2.66277083333333,17,1,36.495
CAS,ODQ,837.492,77,10.8765194805195,18,0,84.708
CAS,ODQ,191.052,39,4.89876923076923,3,3,151.43
CAS,ODQ,107.514,44,2.4435,15,0,23.241
CAS,ODQ,290.365,83,3.4983734939759,37,2,28.457
CAS,ODQ,504.212,122,4.13288524590164,9,3,154.0
CAS,ODQ,187.707,95,1.97586315789474,22,0,111.0
CAS,ODQ,260.566,95,2.7428,23,3,80.816
CAS,ODQ,26.594,22,1.20881818181818,12,1,5.194
CAS,ODQ,603.864,77,7.84238961038961,17,1,42.628
CAS,ODQ,140.174,62,2.26087096774194,22,0,33.646
CAS,ODQ,66.986,25,2.67944,21,8,131.009
CAS,ODQ,101.559,1,101.559,0,0,0.0
CAS,ODQ,395.998,56,7.07139285714286,11,20,15.146
CAS,ODQ,69.668,39,1.78635897435897,10,3,84.186
CAS,ODQ,60.385,21,2.87547619047619,8,16,20.138
CAS,ODQ,228.925,11,20.8113636363636,0,1,365.095
CAS,ODQ,177.543,6,29.5905,1,2,174.967
CAS,ODQ,239.241,7,34.1772857142857,1,2,120.332
CAS,ODQ,110.452,10,11.0452,2,3,65.915
CAS,ODQ,413.673,5,82.7346,2,1,0.0
CAS,ODQ,232.009,39,5.94894871794872,15,0,5.385
