Treatment,Drug,Time_on_white,Entries,Duration,Risk_assessment_N,Erratic_swimming_N,Thigmotaxis_Percent
CTRL,VEH,413.061,17,24.29770588235294,5,0,1.528778
CTRL,VEH,67.785,42,1.6139285714285714,28,2,0.05933333
CTRL,VEH,211.578,37,5.718324324324325,18,3,0.6242222
CTRL,VEH,462.647,56,8.261553571428571,10,0,2.194333
CTRL,VEH,324.962,72,4.513361111111111,11,11,1.701222
CTRL,VEH,225.077,40,5.626925,4,0,2.543333
CTRL,VEH,627.079,38,16.50207894736842,5,0,2.486333
CTRL,VEH,361.659,50,7.23318,10,0,1.256111
CTRL,VEH,351.769,33,10.659666666666666,0,3,1.197222
CTRL,AG,84.922,1,84.922,1,0,0.0
CTRL,AG,259.861,32,8.12065625,0,3,0.7291111
CTRL,AG,313.833,57,5.5058421052631585,4,1,2.290222
CTRL,AG,287.985,46,6.26054347826087,19,2,0.6258889
CTRL,AG,293.893,49,5.997816326530612,23,3,0.1921111
CTRL,AG,311.76,5,62.352,0,3,1.270555
CTRL,AG,92.749,35,2.6499714285714284,1,0,0.9478889
CTRL,AG,301.962,46,6.564391304347826,10,0,0.923
CTRL,AG,386.172,67,5.763761194029851,4,3,2.612
CTRL,AG,263.785,56,4.710446428571429,6,0,2.239444
CTRL,AG,278.688,39,7.145846153846153,5,1,0.4393333
CTRL,AG,303.886,46,6.606217391304348,9,0,2.194333
CAS,VEH,3.059,3,1.0196666666666667,3,0,0.06177778
CAS,VEH,49.393,58,0.8516034482758621,9,4,13.21589
CAS,VEH,333.328,39,8.546871794871794,5,0,4.178889
CAS,VEH,271.399,61,4.449163934426229,19,2,15.63078
CAS,VEH,77.284,23,3.3601739130434787,8,1,5.617222
CAS,VEH,238.587,50,4.771739999999999,9,8,14.37378
CAS,VEH,187.092,14,13.363714285714286,1,0,16.22989
CAS,VEH,12.87,57,0.2257894736842105,1,7,2.607
CAS,VEH,135.357,37,3.658297297297297,19,4,7.217222
CAS,AG,195.482,69,2.833072463768116,1,1,0.8948889
CAS,AG,189.888,44,4.315636363636364,5,0,1.851778
CAS,AG,279.215,12,23.267916666666665,4,0,0.315
CAS,AG,387.535,67,5.78410447761194,11,0,0.09822223
CAS,AG,283.157,40,7.078925,3,9,1.285444
CAS,AG,358.749,61,5.881131147540984,12,2,3.268333
CAS,AG,212.818,55,3.869418181818182,10,0,2.072222
CAS,AG,111.08,34,3.267058823529412,8,9,1.237778
