Time,Treatment,Glu
0 min,CTRL,2.70518038189577
0 min,CTRL,1.28119271785012
0 min,CTRL,1.97393110156405
0 min,CTRL,1.56814571624549
0 min,CTRL,2.08224317612571
0 min,CAS,5.11005554213919
0 min,CAS,2.71723962558205
0 min,CAS,5.63887619329947
0 min,CAS,5.0446173928926
0 min,CAS,2.89348727191326
15 min,CTRL,2.84053039106392
15 min,CTRL,2.49398905145794
15 min,CTRL,1.11837170812582
15 min,CTRL,3.16915621352356
15 min,CTRL,1.85353001247892
15 min,CAS,2.06131712691394
15 min,CAS,3.10813048420749
15 min,CAS,1.22873294999838
15 min,CAS,3.25531578656156
15 min,CAS,1.72179722322629
30 min,CTRL,1.18368085333929
30 min,CTRL,1.90344836987582
30 min,CTRL,2.84356257166606
30 min,CTRL,3.92991383321827
30 min,CTRL,2.12035094357902
30 min,CAS,4.51716981158554
30 min,CAS,5.44928167717181
30 min,CAS,2.48757704362352
30 min,CAS,3.9743103800831
30 min,CAS,3.63385022674596
90 min,CTRL,2.84455706776094
90 min,CTRL,3.12451063203962
90 min,CTRL,1.72174791718373
90 min,CTRL,2.67029784769872
90 min,CTRL,3.73859095424073
90 min,CAS,3.31534442745439
90 min,CAS,2.17852917931986
90 min,CAS,2.31773471315029
90 min,CAS,1.11740989578993
90 min,CAS,3.35736148867305
24 h,CTRL,2.67674488265624
24 h,CTRL,1.60541666084966
24 h,CTRL,1.76292989921154
24 h,CTRL,1.44980588319383
24 h,CTRL,2.02777839703557
24 h,CAS,2.66087479593718
24 h,CAS,1.21848110012304
24 h,CAS,1.21390682117863
24 h,CAS,3.66618603495049
24 h,CAS,1.63648981950931
